id,user_id,media_id,type,created_at,updated_at
ccaf6711-bad1-4089-8e73-825da2a66868,f5319987-66cb-40a1-b12c-0a3360db7819,51eeb99e-c0e5-472d-bd6f-ce52fd6ed2b5,negative,2023-05-22 11:22:37.568891 +00:00,2023-05-22 11:22:37.568891 +00:00
80dc7148-c00f-4421-97b0-d0ffd46abe87,3cd8f3cf-7097-4ac9-bf44-87f834210d59,c2e8fd02-74a0-42fc-bbce-f63eb27b2de7,positive,2023-05-22 11:24:02.693755 +00:00,2023-05-22 11:24:02.693755 +00:00
ab40fd0f-6093-48c5-afcf-3ae2d82997dd,3cd8f3cf-7097-4ac9-bf44-87f834210d59,a98a487e-b1c8-4700-916d-a060b91cc35b,positive,2023-05-22 11:25:13.233055 +00:00,2023-05-22 11:25:13.233055 +00:00
5e7de49f-a45f-49b5-b232-9a12d5440bdd,3cd8f3cf-7097-4ac9-bf44-87f834210d59,44d2e8f3-1c0e-427a-bbe1-02690314b057,positive,2023-05-22 11:25:21.589566 +00:00,2023-05-22 11:25:21.589566 +00:00
81d8fa8a-ac7e-4244-a006-2480d90ea12c,3cd8f3cf-7097-4ac9-bf44-87f834210d59,66c164bd-f129-405d-a4d8-5a5d8d234a62,neutral,2023-05-22 11:25:46.019908 +00:00,2023-05-22 11:25:46.019908 +00:00
a447758d-59f1-4f63-80da-875266792a6b,3cd8f3cf-7097-4ac9-bf44-87f834210d59,b62bfdc8-8ef8-4878-9982-74d0bdce6edc,neutral,2023-05-22 11:25:49.378818 +00:00,2023-05-22 11:25:49.378818 +00:00
29d5f6f3-4e48-4b61-a1db-e474ed81a61d,3cd8f3cf-7097-4ac9-bf44-87f834210d59,f8005ad1-a80c-4e95-987d-52c086c0f992,positive,2023-05-22 11:26:00.783308 +00:00,2023-05-22 11:26:00.783308 +00:00
5cc01cbe-f526-4566-ae3a-3a8e2edd87a0,3cd8f3cf-7097-4ac9-bf44-87f834210d59,d4923511-1eb7-4f54-88e1-fc0a5cf50f68,neutral,2023-05-22 11:26:04.209362 +00:00,2023-05-22 11:26:04.209362 +00:00
17c52418-57d8-453b-9622-668ebf67d02b,3cd8f3cf-7097-4ac9-bf44-87f834210d59,6cb9c8d7-503c-4d75-ac0d-cc83f1340d09,neutral,2023-05-22 11:26:08.036628 +00:00,2023-05-22 11:26:08.036628 +00:00
d9ee014a-62c2-48ee-8d4f-b9dde2a7110d,3cd8f3cf-7097-4ac9-bf44-87f834210d59,e0684dca-e2b7-4a4c-9f23-a79967d586e7,positive,2023-05-22 11:26:17.778301 +00:00,2023-05-22 11:26:17.778301 +00:00
2d56d01f-c879-4b02-8a5e-66a68ac1fa94,3cd8f3cf-7097-4ac9-bf44-87f834210d59,1e84d324-f1bd-4b96-b5e2-70c7a9f81934,neutral,2023-05-22 11:26:29.069299 +00:00,2023-05-22 11:26:29.069299 +00:00
935a82f8-fc9b-4260-b4d0-402ffd49e205,3cd8f3cf-7097-4ac9-bf44-87f834210d59,2bd3bb1a-01c6-4a14-9938-ceedafc5bb6e,positive,2023-05-22 11:26:40.313271 +00:00,2023-05-22 11:26:40.313271 +00:00
707c880e-cd20-4914-bf63-880938fe06df,3cd8f3cf-7097-4ac9-bf44-87f834210d59,3c2be333-82c4-430c-9c90-ec4017fded58,positive,2023-05-22 11:27:10.320128 +00:00,2023-05-22 11:27:10.320128 +00:00
ef5e1100-3b08-459d-b6d9-95d3f6ee5c35,3cd8f3cf-7097-4ac9-bf44-87f834210d59,117a3591-6d8d-4f95-be65-7870bd45471d,positive,2023-05-22 11:27:26.341430 +00:00,2023-05-22 11:27:26.341430 +00:00
a145569e-abf2-42ee-8a59-845505302cc1,3cd8f3cf-7097-4ac9-bf44-87f834210d59,0d50549b-284a-43aa-8101-01105c0c4840,negative,2023-05-22 11:27:31.370163 +00:00,2023-05-22 11:27:31.370163 +00:00
e64ee290-6fe9-4c49-8c42-08b73205ef50,3cd8f3cf-7097-4ac9-bf44-87f834210d59,ac3515f2-7399-4fcd-b633-bd09abe9822c,positive,2023-05-22 11:27:59.529133 +00:00,2023-05-22 11:27:59.529133 +00:00
22e1e9bc-7a49-45cd-bb5a-f687a758b1a3,f5319987-66cb-40a1-b12c-0a3360db7819,dab9fbf0-d867-420b-affd-a50db4a5aaf6,positive,2023-05-22 11:28:50.825686 +00:00,2023-05-22 11:28:50.825686 +00:00
2672943d-59c0-4dad-ae48-6ef692bfd1d6,3cd8f3cf-7097-4ac9-bf44-87f834210d59,e0e4d4c4-3d56-4d93-afe8-c8cdbe26b250,negative,2023-05-22 11:28:58.249560 +00:00,2023-05-22 11:28:58.249560 +00:00
d1044e43-8566-4069-a8b2-521cadc320a2,f5319987-66cb-40a1-b12c-0a3360db7819,a1ae9714-1947-4eee-811c-e3b15fb91e63,positive,2023-05-22 11:29:06.025466 +00:00,2023-05-22 11:29:06.025466 +00:00
1fccc322-fcc3-405b-a4f7-2ecbb8c3b6af,3cd8f3cf-7097-4ac9-bf44-87f834210d59,5d3b8a57-7826-4ccf-ba4f-c6af78ce25c2,positive,2023-05-22 11:29:50.285018 +00:00,2023-05-22 11:29:50.285018 +00:00
